;;;;;;;
;;MASTER HİJYEN TEMİZLİK VE GIDA ÜRÜNLERİ ;;;;;
;;;;;;;
ÜRÜN FOTOĞRAF;*;ÜRÜN KOD;ÜRÜN İSİM;ÜRÜN BİLGİ;BİRİM;KDV;FİYAT.
;;;;;;;
;*;MASTER.ZH-200.STD MRD;"Z HAVLU 200'LÜ 
STANDART MİRADA (12 PAKET)";"20 X 20 CM 
16 GR/M² 
2 KAT";KOLİ;20%;
;*;MASTER.ZH-200.CMF MRD;"Z HAVLU 200'LÜ 
COMFORT MİRADA (12 PAKET)";"20 X 20 CM 
21 GR/M² 
2 KAT";KOLİ;20%;
;*;MASTER.ZH-175 GLR;"Z HAVLU 175'Lİ 
GLORA (12 PAKET)";"20 X 20 CM 
16 GR/M² 
2 KAT";KOLİ;20%;
;*;MASTER.ZH-150 GLR;"Z HAVLU 150'Lİ 
GLORA (12 PAKET)";"20 X 20 CM 
16 GR/M² 
2 KAT";KOLİ;20%;
;*;MASTER.ZH-120 BST;"Z HAVLU 120'Lİ 
BESTE (12 PAKET)";"21 X 20 CM 
16 GR/M² 
2 KAT";KOLİ;20%;
;*;MASTER.ZH-100 EBS;"Z HAVLU 100'LÜ 
EKO BESTE (12 PAKET)";"21 X 20 CM 
16 GR/M² 
2 KAT";KOLİ;20%;
;;;;;;;
;*;MASTER.HH-5.CMF MRD;"HAREKETLİ HAVLU 5 KG 
COMFORT MİRADA (6 ADET)";"21 CM 
21 GR/M² - 2 KAT 
90 METRE";KOLİ;20%;
;*;MASTER.HH-4 MRD;"HAREKETLİ HAVLU 4 KG 
MİRADA (6 ADET)";"21 CM 
21 GR/M² - 2 KAT 
72 METRE";KOLİ;20%;
;*;MASTER.HH-3,5 GLR;"HAREKETLİ HAVLU 3,5 KG 
GLORA (6 ADET)";"21 CM 
21 GR/M² - 2 KAT 
62 METRE";KOLİ;20%;
;*;MASTER.HH-3 BST;"HAREKETLİ HAVLU 3 KG 
BESTE (6 ADET)";"21 CM 
21 GR/M² - 2 KAT 
53 METRE";KOLİ;20%;
;*;MASTER.HH-2,5 EBS;"HAREKETLİ HAVLU 2,5 KG 
EKO BESTE (6 ADET)";"21 CM 
21 GR/M² - 2 KAT 
43 METRE";KOLİ;20%;
;*;MASTER.HH-6.OYK GLR;"HAREKETLİ HAVLU OYUKLU 6 KG 
GLORA (6 ADET)";"25 CM 
21 GR/M² - 2 KAT 
90 METRE";KOLİ;20%;
;;;;;;;
;*;MASTER.İÇH-5.CMF MRD;"İÇTEN ÇEKME HAVLU 5 KG 
COMFORT MİRADA (6 ADET)";"21 CM 
21 GR/M² - 2 KAT 
90 METRE - 450 YAPRAK";KOLİ;20%;
